,Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean
3128,2800,101.316,96.83036999999996,7.235162676374733,7.937374696163295,4.618244345475363,4.57020601215834,0.07400873487920884,1.177108994704159,1.7889541372712041
3129,2900,104.48,98.6562783333333,7.261498968397691,7.9724660159745655,4.648995665528121,4.588969935437519,0.07288050414839224,1.5495410751800898,1.850095882342017
3130,3000,105.929,100.49698166666668,7.3315429829262,8.006367567650246,4.6627690583674894,4.607497523449967,0.07234357286527993,0.0,0.0
3131,10,2.2360700000000002,3.358624666666668,0.7150635177508384,2.302585092994046,0.8047198607062321,1.1896030470871515,0.20882358120895358,0.0,0.0
3132,100,12.53,14.163644166666655,1.7027718451492497,4.605170185988092,2.528125768907977,2.643674029712245,0.11768307721068658,1.3486250261379835,1.6056794813979303
3133,200,20.6155,21.370676666666668,2.505533039818545,5.298317366548036,3.026043220048582,3.0553130522656806,0.11521619156910232,1.6368574257644861,1.7126578036357556
3134,300,24.5153,26.84902916666666,2.7195913806243306,5.703782474656201,3.19929741243399,3.285140343844522,0.10076782417093728,1.6492615522089047,1.7601751636533443
3135,400,31.3847,31.6187925,3.1040169220480047,5.991464547107982,3.446320513017422,3.4491074852704497,0.09557367636437496,1.6775789838652393,1.7533435392386785
3136,500,33.2415,35.89659333333332,3.3230372416093164,6.214608098422191,3.503799095322875,3.576484060768244,0.09057615756357267,2.8213477537651754,1.7133367482688373
3137,600,36.2353,40.04389833333334,3.710717573596353,6.396929655216146,3.590033781814953,3.6857598004197327,0.09147028789639876,2.123572692799703,1.7102698472107807
3138,700,38.9487,43.72722333333333,4.3229883075394016,6.551080335043404,3.662245395636527,3.773220404550457,0.09685168179999114,1.8907862183464932,1.7275058757833865
3139,800,42.19,47.33177250000001,4.7437520320586515,6.684611727667927,3.7421832261362473,3.852290100828305,0.09834182989737124,1.483042371207423,1.707768512129291
3140,900,46.1411,50.64796416666664,4.9007527603728755,6.802394763324311,3.831704092946907,3.9203799443217817,0.09431186119759224,2.03698302175976,1.7507711267575068
3141,1000,47.0744,53.724891666666714,4.951713280144431,6.907755278982137,3.8517293288432963,3.979744539563241,0.09036940239731113,3.08299490722705,1.758963195421516
